Teks,Label
tenang,0
aku sakit hati,2
aku dimarahin,2
berantem,2
Hari ini cuacanya sangat cerah. Matahari bersinar dengan indah di langit biru. Ini adalah hari yang sempurna untuk berjalan-jalan di taman dan menikmati udara segar.,0
Saya baru saja mendapat kabar baik tentang kenaikan gaji. Ini adalah hasil dari kerja keras dan dedikasi selama ini. Saya sangat bersyukur dan bersemangat untuk terus bekerja dengan lebih baik lagi.,0
Liburan kemarin sangat menyenangkan. Kami mengunjungi banyak tempat baru dan mencoba berbagai makanan lezat. Saya merasa sangat segar dan siap untuk kembali bekerja dengan semangat baru.,0
Teman-teman saya sangat mendukung. Mereka selalu ada untuk mendengarkan dan memberikan bantuan saat dibutuhkan. Saya merasa sangat beruntung memiliki mereka dalam hidup saya.,0
Saya baru saja menyelesaikan proyek besar dengan hasil yang memuaskan. Semua usaha dan kerja keras akhirnya membuahkan hasil yang baik. Saya merasa sangat bangga dan puas dengan pencapaian ini.,0
Keluarga saya sangat bahagia. Kami selalu saling mendukung satu sama lain dalam setiap keadaan. Kebersamaan dan kasih sayang di antara kami membuat hidup ini terasa lebih bermakna.,0
Saya senang bisa membantu orang lain. Melihat mereka tersenyum dan merasa terbantu adalah kebahagiaan tersendiri bagi saya. Memberikan sedikit dari diri kita untuk kebahagiaan orang lain adalah hal yang luar biasa.,0
Akhir pekan ini saya berencana untuk bertemu teman-teman lama. Kami akan berkumpul dan menghabiskan waktu bersama. Saya sangat menantikan momen ini untuk bernostalgia dan berbagi cerita.,0
Saya baru saja menerima penghargaan atas kerja keras saya di kantor. Ini adalah pengakuan yang sangat berarti bagi saya. Saya merasa sangat termotivasi untuk terus memberikan yang terbaik dalam setiap pekerjaan.,0
Hari ini saya merasa sangat bersemangat. Energi positif ini membuat saya lebih produktif dan fokus dalam menyelesaikan tugas-tugas. Saya yakin hari ini akan menjadi hari yang sangat produktif dan menyenangkan.,0
Saya sangat menikmati waktu luang saya dengan membaca buku favorit. Setiap halaman membawa saya ke dunia yang berbeda dan memberikan banyak inspirasi. Ini adalah cara yang sempurna untuk bersantai dan mengisi waktu luang.,0
Berolahraga di pagi hari membuat saya merasa segar. Saya merasa lebih bugar dan siap menghadapi hari dengan semangat. Aktivitas ini benar-benar memberikan energi positif untuk sepanjang hari.,0
Saya sangat bersyukur memiliki keluarga dan teman-teman yang baik. Kehadiran mereka memberikan dukungan dan cinta yang tak ternilai. Saya merasa sangat beruntung dan bahagia memiliki mereka dalam hidup saya.,0
Mendengar musik favorit membuat saya merasa tenang. Irama dan liriknya membawa saya ke suasana hati yang lebih baik. Musik benar-benar memiliki kekuatan untuk mengubah suasana hati saya menjadi lebih positif.,0
Saya baru saja selesai membuat hidangan lezat untuk keluarga saya. Semua orang menikmatinya dan memberikan pujian. Melihat mereka bahagia dengan masakan saya adalah kebahagiaan tersendiri.,0
Hari ini sangat melelahkan. Tugas di kantor menumpuk dan saya merasa kewalahan. Bos saya terus-menerus meminta hasil tanpa memberikan arahan yang jelas. Saya merasa sangat stres dan frustrasi.,1
"Saya tidak bisa tidur nyenyak semalam. Pikiran saya terus dipenuhi dengan kekhawatiran tentang pekerjaan dan masa depan. Setiap kali mencoba tidur, saya merasa cemas. Ini benar-benar mengganggu kesehatan saya.",1
Hubungan dengan rekan kerja saya semakin buruk. Kami sering berdebat dan tidak bisa bekerja sama dengan baik. Situasi ini membuat saya sangat stres setiap kali harus ke kantor. Saya merasa tertekan dan tidak tahu harus berbuat apa.,1
Keuangan saya sangat kacau saat ini. Tagihan terus berdatangan dan saya tidak tahu bagaimana cara membayarnya. Setiap hari saya merasa cemas memikirkan bagaimana cara mengatasi masalah ini. Saya benar-benar merasa putus asa.,1
Saya merasa sangat kesepian akhir-akhir ini. Tidak ada yang bisa saya ajak bicara tentang masalah-masalah saya. Perasaan terisolasi ini membuat saya semakin tertekan. Saya merasa hidup saya sangat berat dan tidak ada yang peduli.,1
Tugas kuliah semakin menumpuk dan saya tidak bisa mengikutinya. Setiap hari saya merasa semakin tertinggal dan tidak mampu mengejar ketertinggalan. Saya sangat cemas tentang masa depan akademis saya. Ini membuat saya sangat stres dan tertekan.,1
"Saya merasa tidak ada yang memahami saya. Setiap kali mencoba menjelaskan perasaan saya, orang-orang hanya menganggapnya remeh. Ini membuat saya merasa sangat frustrasi dan marah. Saya tidak tahu harus bagaimana lagi.",1
"Kesehatan saya semakin memburuk karena stres. Saya sering sakit kepala dan merasa lelah sepanjang waktu. Dokter mengatakan itu karena stres, tapi saya tidak tahu bagaimana cara menguranginya. Ini membuat saya merasa putus asa dan khawatir tentang kesehatan saya.",1
Setiap hari terasa seperti beban berat yang harus saya pikul. Saya merasa tidak ada yang berjalan sesuai dengan harapan. Semua usaha saya sepertinya sia-sia. Ini benar-benar membuat saya merasa sangat tertekan dan kecewa.,1
Saya selalu merasa cemas tentang apa yang akan terjadi selanjutnya. Ketidakpastian ini membuat saya sulit untuk fokus dan menikmati hidup. Saya terus-menerus khawatir dan merasa sangat stres. Rasanya seperti tidak ada jalan keluar dari situasi ini.,1
Pagi ini saya menikmati secangkir kopi sambil menikmati matahari terbit. Rasanya sangat menenangkan dan menginspirasi. Saya merasa siap untuk menghadapi hari dengan penuh semangat. Saya yakin hari ini akan menjadi hari yang luar biasa.,0
Saya baru saja selesai menonton film favorit saya bersama keluarga. Kami semua tertawa dan menikmati setiap momennya. Momen seperti ini sangat berharga dan membuat saya merasa sangat bahagia. Kebersamaan dengan keluarga adalah hal yang paling indah.,0
Saya menerima surat dari teman lama hari ini. Membaca pesan-pesannya membawa kembali banyak kenangan indah. Rasanya menyenangkan bisa terhubung kembali setelah sekian lama. Saya merasa sangat beruntung memiliki teman seperti dia.,0
Hari ini saya mencoba resep baru untuk makan malam dan hasilnya sangat memuaskan. Semua orang di rumah menikmati masakan saya. Melihat mereka makan dengan lahap membuat saya sangat senang. Saya merasa bangga dengan keterampilan memasak saya yang terus berkembang.,0
Saya baru saja pulang dari kelas yoga yang sangat menenangkan. Setiap gerakan dan meditasi membantu saya merasa lebih rileks. Ini adalah cara yang bagus untuk menghilangkan stres dan menjaga kesehatan. Saya merasa sangat damai dan seimbang.,0
Saya menerima kabar baik bahwa proyek yang saya kerjakan mendapat pujian dari klien. Usaha keras dan dedikasi saya membuahkan hasil yang memuaskan. Ini sangat memotivasi saya untuk terus bekerja dengan baik. Saya merasa sangat bangga dan bersemangat.,0
Saya menghabiskan waktu sore ini dengan membaca buku di taman. Angin sepoi-sepoi dan suasana yang tenang membuat pengalaman ini sangat menyenangkan. Buku yang saya baca juga sangat menarik dan inspiratif. Ini adalah cara sempurna untuk menghabiskan waktu luang.,0
Saya merasa sangat berenergi setelah berolahraga pagi ini. Setiap gerakan membuat saya merasa lebih kuat dan bugar. Olahraga benar-benar memberikan dampak positif bagi kesehatan fisik dan mental saya. Saya merasa sangat siap untuk menghadapi hari ini.,0
Hari ini saya mendapat kesempatan untuk berbicara di depan umum dan berbagi ide-ide saya. Sambutan yang saya terima sangat positif dan mendukung. Pengalaman ini sangat memperkuat rasa percaya diri saya. Saya merasa sangat bersemangat untuk terus berkembang.,0
Saya menghabiskan waktu akhir pekan ini dengan berkebun di halaman rumah. Melihat tanaman-tanaman tumbuh subur dan berbunga membuat saya merasa sangat puas. Kegiatan ini sangat menenangkan dan memberikan kebahagiaan sederhana. Saya merasa sangat dekat dengan alam.,0
Saya merasa sangat lelah dan tidak bersemangat hari ini. Tugas-tugas di kantor sepertinya tidak ada habisnya. Saya merasa terus-menerus ditekan untuk menyelesaikan semuanya dengan cepat. Ini benar-benar membuat saya merasa stres dan tertekan.,1
Tidur saya tidak nyenyak belakangan ini. Setiap malam saya selalu terbangun dengan perasaan cemas. Pikiran-pikiran negatif terus menghantui saya. Saya tidak tahu bagaimana cara menghentikan perasaan ini.,1
Saya merasa sangat kewalahan dengan semua tanggung jawab yang saya miliki. Terkadang saya merasa seperti tidak ada yang peduli dengan kesulitan saya. Setiap hari saya merasa semakin terpuruk. Ini benar-benar menguras energi saya.,1
"Saya merasa sangat frustrasi dengan hasil kerja saya. Meskipun sudah berusaha keras, saya tidak pernah merasa cukup baik. Kritikan yang saya terima semakin memperburuk perasaan saya. Saya merasa sangat tidak berdaya.",1
"Hari ini saya merasa sangat kesepian. Tidak ada yang mengerti apa yang saya rasakan. Meskipun dikelilingi banyak orang, saya merasa sangat terisolasi. Ini membuat saya sangat tertekan.",1
Kesehatan saya semakin memburuk. Saya sering merasa sakit kepala dan kelelahan. Dokter mengatakan ini karena stres yang berlebihan. Saya tidak tahu bagaimana cara mengatasinya dan ini membuat saya sangat khawatir.,1
Setiap hari saya merasa semakin jauh dari tujuan hidup saya. Semua usaha yang saya lakukan sepertinya tidak membuahkan hasil. Perasaan putus asa ini semakin menguasai diri saya. Saya benar-benar merasa hilang arah.,1
"Saya mengalami konflik dengan teman dekat saya. Hal ini membuat hubungan kami menjadi tegang dan tidak nyaman. Saya merasa sangat kecewa dan terluka. Setiap kali memikirkannya, saya merasa semakin stres.",1
Saya merasa sangat cemas tentang masa depan saya. Tidak ada kepastian dalam hidup saya saat ini. Setiap keputusan terasa sangat berat dan penuh tekanan. Ini membuat saya merasa sangat tertekan dan takut.,1
Pekerjaan saya saat ini sangat monoton dan tidak memberikan kepuasan. Setiap hari terasa sama dan membosankan. Saya merasa tidak ada tantangan atau perkembangan. Ini membuat saya merasa sangat terjebak dan stres.,1
Saya merasa hidup saya tidak berarti. Setiap hari hanya terasa seperti beban yang berat. Saya tidak bisa menemukan alasan untuk merasa bahagia. Semuanya terasa begitu hampa.,1
"Saya sering merasa bahwa saya adalah beban bagi orang-orang di sekitar saya. Tidak peduli seberapa keras saya mencoba, saya selalu merasa gagal. Rasa putus asa ini begitu mendalam. Saya merasa tidak ada yang peduli dengan saya.",1
Saya tidak bisa mengingat kapan terakhir kali saya merasa benar-benar bahagia. Semua hal yang dulu saya nikmati sekarang terasa tidak berarti. Saya merasa terjebak dalam kegelapan yang tidak bisa saya keluar. Hidup ini terasa begitu menyakitkan.,1
Setiap pagi terasa begitu sulit untuk bangun dari tempat tidur. Saya tidak punya energi atau motivasi untuk melakukan apa pun. Semua aktivitas terasa sia-sia. Saya hanya ingin bersembunyi dan menghilang.,1
"Saya merasa sangat kesepian, meskipun dikelilingi oleh banyak orang. Tidak ada yang benar-benar mengerti apa yang saya rasakan. Kesedihan ini begitu dalam dan tak terucapkan. Saya merasa terisolasi dan terabaikan.",1
"Saya sering merasa sangat lelah tanpa alasan yang jelas. Kelelahan ini bukan hanya fisik, tetapi juga emosional. Saya merasa tidak mampu menghadapi hari-hari saya. Semua ini membuat saya merasa sangat putus asa.",1
Saya tidak bisa berhenti memikirkan semua kesalahan yang pernah saya buat. Rasa bersalah dan penyesalan selalu menghantui saya. Saya merasa seperti orang yang sangat tidak berharga. Semua ini membuat saya merasa sangat hancur.,1
Saya merasa sangat cemas tentang masa depan. Tidak ada yang tampak pasti atau menjanjikan. Ketakutan dan kekhawatiran ini menguasai pikiran saya setiap saat. Saya merasa seperti tidak ada jalan keluar.,1
Saya tidak merasakan kebahagiaan atau kepuasan dalam hal apa pun. Segala sesuatu yang saya lakukan terasa begitu kosong. Saya merasa tidak ada yang bisa membuat saya merasa lebih baik. Hidup ini terasa begitu sia-sia.,1
Setiap hari adalah perjuangan untuk bertahan. Saya merasa seperti tenggelam dalam lautan kesedihan. Tidak ada yang bisa membantu saya keluar dari perasaan ini. Saya merasa sangat putus asa dan tidak berdaya.,1
"Setiap kali melihatnya, saya merasa sangat rindu dengan masa-masa indah yang pernah kami lewati. Namun, sekarang semuanya terasa begitu jauh dan tak tergapai. Saya merasa kehilangan seorang teman yang dulu sangat dekat. Kesepian ini begitu menyakitkan.",1
"Dia dulu selalu ada untuk saya, tapi sekarang rasanya kami seperti dua orang asing. Komunikasi kami semakin jarang dan terasa hambar. Saya merindukan kedekatan yang pernah kami miliki. Rasanya hati ini hancur melihat hubungan kami yang semakin menjauh.",1
"Saya merasa sangat kecewa karena dia tidak lagi memperhatikan saya seperti dulu. Setiap kali mencoba bicara, dia selalu sibuk dengan hal lain. Perasaan ini begitu menyakitkan dan membuat saya merasa tidak dihargai. Saya benar-benar merasa sendirian dalam hubungan ini.",1
"Setiap hari saya berharap hubungan kami bisa kembali seperti dulu. Namun, semakin saya berusaha, semakin dia menjauh. Rasa sakit ini begitu mendalam dan membuat saya merasa tidak berdaya. Saya hanya bisa bertanya-tanya apa yang salah.",1
"Dia adalah sahabat terbaik saya, tetapi sekarang dia lebih banyak menghabiskan waktu dengan orang lain. Saya merasa terlupakan dan terabaikan. Rasa sedih ini membuat saya merasa sangat kesepian. Saya merindukan momen-momen kebersamaan kami.",1
"Saya sering menangis ketika mengingat betapa dekatnya kami dulu. Sekarang, semua itu hanya tinggal kenangan. Setiap kali melihat foto-foto lama, saya merasa sangat galau dan sedih. Hati saya terasa begitu kosong tanpa kehadirannya.",1
"Saya merasa sangat sakit hati karena dia tidak lagi peduli dengan perasaan saya. Setiap kali saya mencoba berbicara tentang masalah kami, dia selalu menghindar. Rasa frustasi dan kecewa ini begitu besar. Saya merasa sangat tidak dihargai.",1
"Saya pernah berpikir bahwa kami akan selalu bersama, tapi sekarang segalanya berubah. Dia sepertinya sudah tidak lagi memiliki perasaan yang sama. Rasa galau ini begitu menyiksa dan membuat saya merasa sangat sedih. Saya benar-benar tidak tahu harus berbuat apa.",1
"Setiap kali melihat dia bersama orang lain, hati saya terasa sangat sakit. Saya merasa sangat cemburu dan terluka. Rasa galau ini membuat saya merasa sangat tidak aman. Saya hanya bisa berharap semuanya bisa kembali seperti dulu.",1
"Dia adalah orang yang sangat berarti bagi saya, tapi sekarang hubungan kami semakin renggang. Saya merasa seperti kehilangan sebagian dari diri saya sendiri. Kesedihan ini begitu mendalam dan sulit untuk diungkapkan. Saya hanya bisa berharap dan berdoa agar semuanya bisa membaik.",1
"Hari ini saya mencoba hobi baru yaitu melukis. Ternyata, melukis sangat menyenangkan dan menenangkan. Saya merasa kreativitas saya benar-benar terbangun. Saya sangat bangga dengan hasil karya pertama saya.",0
Akhir pekan ini saya menghabiskan waktu dengan berkebun di halaman rumah. Melihat tanaman tumbuh subur dan bunga-bunga bermekaran membuat saya sangat bahagia. Aktivitas ini sangat menyegarkan pikiran saya. Saya merasa sangat dekat dengan alam.,0
Saya baru saja menyelesaikan membaca buku yang sangat inspiratif. Buku ini memberikan banyak wawasan dan motivasi baru bagi saya. Saya merasa sangat bersemangat untuk menerapkan pelajaran yang saya dapatkan. Membaca benar-benar membuka pikiran saya.,0
Pagi ini saya melakukan yoga di bawah sinar matahari. Setiap gerakan dan meditasi membuat saya merasa sangat rileks dan damai. Energi positif yang saya rasakan sangat membantu menghadapi hari ini. Saya merasa sangat segar dan bugar.,0
"Saya baru saja belajar bermain alat musik baru, yaitu gitar. Meskipun baru pemula, saya sangat menikmati setiap prosesnya. Musik benar-benar memiliki kekuatan untuk mengangkat semangat saya. Saya merasa sangat bersemangat untuk terus belajar dan berkembang.",0
Hari ini saya memutuskan untuk memasak makanan sehat untuk diri saya sendiri. Memilih bahan-bahan segar dan memasaknya dengan cinta membuat saya merasa sangat puas. Hasilnya pun lezat dan menyehatkan. Saya merasa sangat bangga dengan pencapaian kecil ini.,0
Saya menghabiskan waktu sore ini dengan berjalan-jalan di taman. Udara segar dan pemandangan hijau sangat menenangkan pikiran saya. Ini adalah cara yang bagus untuk melepaskan stres dan menikmati keindahan alam. Saya merasa sangat beruntung bisa merasakan momen ini.,0
Saya mengikuti kelas tari untuk pertama kalinya dan sangat menikmatinya. Setiap gerakan membuat saya merasa lebih bebas dan penuh energi. Instruktur tari sangat menginspirasi dan membuat kelas menjadi sangat menyenangkan. Saya tidak sabar untuk kembali ke kelas berikutnya.,0
Saya baru saja menyelesaikan proyek kerajinan tangan yang sudah lama saya rencanakan. Melihat hasil akhirnya sangat memuaskan dan membanggakan. Kreativitas ini memberikan saya kebahagiaan tersendiri. Saya merasa sangat puas dengan karya yang saya buat sendiri.,0
"Hari ini saya memutuskan untuk bersepeda di sekitar lingkungan rumah. Aktivitas fisik ini sangat menyenangkan dan menyegarkan. Saya menikmati setiap momennya, dari angin yang berhembus hingga pemandangan sekitar. Bersepeda benar-benar membuat hari saya lebih cerah.",0
Hari ini sangat menyenangkan! Saya mendapatkan promosi di tempat kerja. Keluarga saya juga merayakannya bersama saya. Saya merasa sangat bahagia dan bersyukur.,0
Matahari bersinar cerah dan langit biru. Saya berjalan-jalan di taman dengan teman-teman. Suasananya sangat santai dan menyenangkan. Hidup ini terasa indah.,0
Acara pesta ulang tahun tadi malam sangat meriah. Saya bertemu banyak teman lama dan bernyanyi bersama. Kami tertawa dan menikmati malam itu. Hari ini saya merasa sangat gembira.,0
Liburan di pantai sangat menyenangkan. Saya menikmati setiap detik berada di sana. Momen ini sangat berharga bagi saya. Saya merasa sangat bahagia dan rileks.,0
Saya baru saja menerima kabar baik bahwa saya lulus ujian dengan nilai yang sangat baik. Teman-teman saya juga ikut senang dan merayakannya bersama saya. Ini adalah hari yang luar biasa. Saya merasa sangat bangga dan bahagia.,0
"Hari ini saya pergi ke bioskop bersama teman-teman dan menonton film yang sangat lucu. Kami tertawa sepanjang waktu. Setelah itu, kami makan malam di restoran favorit kami. Itu adalah hari yang sangat menyenangkan.",0
Saya mendapatkan hadiah kejutan dari pasangan saya. Dia membelikan saya buku favorit yang sudah lama saya inginkan. Kami menghabiskan malam dengan membaca dan berbicara. Saya merasa sangat dicintai dan bahagia.,0
Minggu pagi ini saya menghabiskan waktu dengan berkebun. Bunga-bunga mulai bermekaran dan warnanya sangat indah. Aktivitas ini membuat saya merasa sangat tenang dan bahagia. Hari ini sangat cerah dan menyenangkan.,0
Hari ini saya berhasil menyelesaikan proyek besar di kantor lebih awal dari yang diperkirakan. Bos saya sangat senang dan memuji hasil kerja saya. Rekan-rekan kerja juga memberikan ucapan selamat. Saya merasa sangat puas dan bahagia.,0
"Saya menghabiskan akhir pekan ini dengan keluarga di pegunungan. Udara segar dan pemandangan yang indah membuat kami semua merasa damai dan bahagia. Kami bermain, bercerita, dan menikmati waktu bersama. Ini adalah salah satu momen terbaik dalam hidup saya.",0
"Saya baru saja menyelesaikan lari pagi dan merasa sangat segar. Udara pagi ini sangat sejuk dan menyenangkan. Setelah itu, saya sarapan dengan makanan favorit saya. Ini adalah awal hari yang sempurna.",0
Hari ini saya mengunjungi kebun binatang bersama keluarga. Kami melihat banyak hewan yang lucu dan eksotis. Anak-anak sangat menikmati waktu mereka di sana. Ini adalah hari yang penuh kebahagiaan.,0
Saya berhasil memasak makanan yang sangat lezat hari ini. Semua orang di rumah memuji masakan saya. Kami makan malam bersama dengan penuh tawa dan cerita. Saya merasa sangat bahagia.,0
Saya menerima telepon dari teman lama yang sudah lama tidak bertemu. Kami mengobrol panjang lebar dan mengenang masa-masa indah bersama. Ini membuat saya sangat gembira.,0
Hari ini saya mendapatkan tiket konser untuk band favorit saya. Saya sudah menantikan momen ini sejak lama. Rasanya sangat menyenangkan dan membuat hati saya berbunga-bunga.,0
Kami mengadakan piknik keluarga di taman hari ini. Cuacanya sangat mendukung dan kami bermain banyak permainan seru. Semua orang tertawa dan menikmati waktu bersama. Saya sangat bahagia.,0
Saya menemukan hobi baru yaitu melukis. Hari ini saya menyelesaikan lukisan pertama saya dan merasa sangat puas dengan hasilnya. Melukis membuat saya merasa sangat tenang dan bahagia.,0
Saya mendapatkan kejutan ulang tahun dari teman-teman kantor. Mereka memberikan kue dan hadiah yang sangat saya sukai. Kami merayakan bersama dan saya merasa sangat dihargai dan bahagia.,0
